645, 158
600, 179
564, 294
553, 296
553, 313
540, 320
534, 302
514, 295
500, 188
500, 199
497, 157
484, 301
483, 196
482, 301
479, 184
473, 182
467, 310
458, 295
452, 174
446, 202
444, 194
439, 305
435, 195
434, 203
432, 187
426, 175
425, 296
423, 176
422, 202
419, 176
424, 19
421, 148
418, 40
424, 299
416, 186
412, 20
412, 322
404, 323
403, 314
401, 346
400, 297
405, 297
400, 454
399, 353
395, 305
384, 298
382, 198
384, 182
381, 320
376, 277
378, 303
362, 346
355, 172
337, 136
338, 344
337, 335
336, 153
336, 21
332, 52
319, 36
318, 27
318, 21
311, 338
316, 48
310, 21
300, 132
297, 42
300, 132
291, 51
291, 41
293, 21
285, 449
285, 162
279, 445
283, 451
276, 439
274, 50
267, 145
265, 333
270, 144
263, 49
260, 144
259, 437
255, 35
259, 463
253, 351
259, 312
255, 143
256, 134
255, 43
254, 151
257, 31
251, 353
249, 445
248, 465
252, 297
249, 51
247, 34
246, 25
248, 433
246, 136
253, 159
241, 155
239, 443
238, 463
237, 358
237, 454
235, 130
233, 468
230, 45
228, 26
220, 191
221, 164
214, 191
213, 141
214, 135
215, 36
216, 152
213, 148
209, 23
210, 203
207, 184
207, 31
195, 26
193, 351
194, 178
195, 170
191, 448
191, 305
193, 196
192, 40
190, 349
190, 338
188, 357
188, 340
190, 349
193, 164
187, 144
188, 143
176, 29
173, 185
174, 176
175, 201
172, 169
171, 342
172, 464
166, 37
169, 329
170, 323
164, 445
169, 359
164, 166
166, 146
168, 38
165, 202
162, 464
165, 285
158, 453
164, 312
159, 162
158, 466
158, 132
158, 144
154, 146
156, 37
154, 291
151, 326
153, 302
150, 448
157, 306
149, 164
152, 327
144, 464
147, 436
143, 289
146, 197
144, 314
128, 21
128, 22
130, 299
129, 286
128, 306
120, 320
74, 453
67, 438
61, 454
57, 42
55, 42
49, 331
49, 310
47, 171
43, 331
43, 310
43, 23
44, 371
44, 129
43, 118
41, 107
37, 330
41, 174
41, 148
42, 137
37, 309
31, 338
31, 394
30, 355
30, 370
31, 171
28, 108
30, 371
27, 327
27, 154
25, 103
24, 339
24, 393
25, 117
21, 132
28, 354
29, 396
19, 151
17, 328
19, 310
31, 91
37, 389
19, 371
22, 139
16, 418
17, 175
15, 103
14, 338
18, 315
15, 167
11, 143
9, 368
